timestamp,temperatura,umidade_ar,umidade_solo1,umidade_solo2,umidade_solo3,umidade_solo4,chuva,intensidade_chuva
2025-11-29 01:42:50,,79.90,,,,,0,0
2025-11-29 01:42:50,,79.90,63,,,,0,0
2025-11-29 01:42:50,,79.90,63,46,,,0,0
2025-11-29 01:42:50,,79.90,63,46,58,,0,0
2025-11-29 01:42:50,,79.90,63,46,58,100,0,0
2025-11-29 01:42:50,26.60,79.90,63,46,58,100,0,0
2025-11-29 01:42:50,26.60,79.90,63,46,58,100,0,0
2025-11-29 01:42:50,26.60,79.90,63,46,58,100,0,0
2025-11-29 01:42:51,26.60,79.90,63,46,58,100,0,0
2025-11-29 01:42:51,26.60,79.90,63,46,58,100,0,0
2025-11-29 01:42:51,26.60,79.90,63,45,58,100,0,0
2025-11-29 01:42:51,26.60,79.90,63,45,58,100,0,0
2025-11-29 01:42:51,26.60,79.90,63,45,58,100,0,0
2025-11-29 01:42:51,26.60,79.90,63,45,58,100,0,0
2025-11-29 01:42:51,26.60,79.90,63,45,58,100,0,0
2025-11-29 01:42:51,26.60,79.90,63,45,58,100,0,0
2025-11-29 01:42:52,26.60,79.80,63,45,58,100,0,0
2025-11-29 01:42:52,26.60,79.80,62,45,58,100,0,0
2025-11-29 01:42:52,26.60,79.80,62,46,58,100,0,0
2025-11-29 01:42:52,26.60,79.80,62,46,59,100,0,0
2025-11-29 01:42:52,26.60,79.80,62,46,59,100,0,0
2025-11-29 01:42:52,26.60,79.80,62,46,59,100,0,0
2025-11-29 01:42:52,26.60,79.80,62,46,59,100,0,0
2025-11-29 01:42:52,26.60,79.80,62,46,59,100,0,0
2025-11-29 01:42:53,26.60,79.80,62,46,59,100,0,0
2025-11-29 01:42:53,26.60,79.80,63,46,59,100,0,0
2025-11-29 01:42:53,26.60,79.80,63,45,59,100,0,0
2025-11-29 01:42:53,26.60,79.80,63,45,59,100,0,0
2025-11-29 01:42:53,26.60,79.80,63,45,59,100,0,0
2025-11-29 01:42:53,26.60,79.80,63,45,59,100,0,0
2025-11-29 01:42:53,26.60,79.80,63,45,59,100,0,0
2025-11-29 01:42:53,26.60,79.80,63,45,59,100,0,0
2025-11-29 01:42:54,26.60,79.70,63,45,59,100,0,0
2025-11-29 01:42:54,26.60,79.70,63,45,59,100,0,0
2025-11-29 01:42:54,26.60,79.70,63,45,59,100,0,0
2025-11-29 01:42:54,26.60,79.70,63,45,58,100,0,0
2025-11-29 01:42:54,26.60,79.70,63,45,58,100,0,0
2025-11-29 01:42:54,26.60,79.70,63,45,58,100,0,0
2025-11-29 01:42:54,26.60,79.70,63,45,58,100,0,0
2025-11-29 01:42:54,26.60,79.70,63,45,58,100,0,0
2025-11-29 01:42:55,26.60,79.70,63,45,58,100,0,0
2025-11-29 01:42:55,26.60,79.70,63,45,58,100,0,0
2025-11-29 01:42:55,26.60,79.70,63,46,58,100,0,0
2025-11-29 01:42:55,26.60,79.70,63,46,58,100,0,0
2025-11-29 01:42:55,26.60,79.70,63,46,58,100,0,0
2025-11-29 01:42:55,26.60,79.70,63,46,58,100,0,0
2025-11-29 01:42:55,26.60,79.70,63,46,58,100,0,0
2025-11-29 01:42:55,26.60,79.70,63,46,58,100,0,0
2025-11-29 01:42:56,26.60,79.60,63,46,58,100,0,0
2025-11-29 01:42:56,26.60,79.60,63,46,58,100,0,0
2025-11-29 01:42:56,26.60,79.60,63,45,58,100,0,0
2025-11-29 01:42:56,26.60,79.60,63,45,58,100,0,0
2025-11-29 01:42:56,26.60,79.60,63,45,58,100,0,0
2025-11-29 01:42:56,26.60,79.60,63,45,58,100,0,0
